id,role,source,status,reason,output_tex
1,Software engineer 2 google,https://www.google.com/about/careers/applications/jobs/results/119847772135269062-software-engineer-ii-youtube-viewcount-and-aggregations?target_level=EARLY&employment_type=FULL_TIME&sort_by=date,OK,,1_software_engineer_2_google__tailored.tex
2,MLEngineer,https://www.google.com/about/careers/applications/jobs/results/140633268511744710-senior-machine-learning-engineer-genai-google-cloud,OK,,2_mlengineer__tailored.tex
